1BA.67 1554.35,1402.44;1555.73,1396.49;1552.33,1395.71;1550.95,1401.65
1BA.69 1555.81,1396.15;1557.19,1390.2;1553.79,1389.41;1552.41,1395.36
1BA.71 1557.27,1389.86;1558.65,1383.91;1555.25,1383.12;1553.87,1389.07
1BA.73 1558.73,1383.56;1560.11,1377.62;1556.71,1376.83;1555.33,1382.78
1BA.75 1560.12,1377.59;1561.5,1371.65;1558.1,1370.86;1556.72,1376.8
1BA.77 1561.58,1371.3;1562.96,1365.36;1559.56,1364.57;1558.18,1370.51
1BA.79 1562.97,1365.32;1564.35,1359.38;1560.94,1358.59;1559.57,1364.53
1CA.01 1428.9,1943.04;1430.28,1937.09;1426.98,1936.33;1425.61,1942.27
1CA.03 1430.65,1935.58;1432.03,1929.64;1428.68,1928.86;1427.3,1934.8
1CA.05 1432.11,1929.29;1433.49,1923.35;1430.14,1922.57;1428.76,1928.51
1CA.07 1433.5,1923.32;1434.88,1917.38;1431.52,1916.6;1430.14,1922.54
1CA.09 1434.96,1917.03;1436.34,1911.08;1432.98,1910.3;1431.6,1916.25
1CA.11 1436.35,1911.05;1437.73,1905.11;1434.37,1904.33;1432.99,1910.27
1CA.13 1437.81,1904.76;1439.19,1898.82;1435.83,1898.04;1434.45,1903.98
1CA.15 1439.27,1898.47;1440.65,1892.53;1437.29,1891.75;1435.91,1897.69
1CA.17 1440.73,1892.18;1442.11,1886.24;1438.75,1885.46;1437.37,1891.4
1CA.19 1442.19,1885.89;1443.57,1879.95;1440.21,1879.17;1438.83,1885.11
1CA.21 1443.65,1879.6;1445.03,1873.66;1441.67,1872.88;1440.29,1878.82
1CA.23 1445.11,1873.31;1446.49,1867.36;1443.13,1866.58;1441.75,1872.53
1CA.25 1446.57,1867.02;1447.95,1861.07;1444.59,1860.29;1443.21,1866.24
1CA.27 1448.03,1860.72;1449.41,1854.78;1446.05,1854.0;1444.67,1859.94
1CA.29 1449.49,1854.43;1450.87,1848.49;1447.51,1847.71;1446.13,1853.65
1CA.31 1450.95,1848.14;1452.33,1842.2;1448.97,1841.42;1447.59,1847.36
1CA.33 1452.41,1841.85;1453.79,1835.91;1450.43,1835.13;1449.05,1841.07
1CA.35 1453.87,1835.56;1455.25,1829.62;1451.89,1828.84;1450.51,1834.78
1CA.37 1455.33,1829.27;1456.71,1823.33;1453.35,1822.55;1451.97,1828.49
1CA.39 1456.79,1822.98;1458.17,1817.04;1454.81,1816.26;1453.43,1822.2
1CA.41 1458.25,1816.69;1459.63,1810.75;1456.27,1809.97;1454.89,1815.91
1CA.43 1459.71,1810.4;1461.09,1804.46;1457.73,1803.68;1456.35,1809.62
1CA.45 1461.17,1804.11;1462.55,1798.17;1459.19,1797.39;1457.81,1803.33
1CA.47 1462.63,1797.82;1464.01,1791.88;1460.65,1791.1;1459.27,1797.04
1CA.49 1464.09,1791.53;1465.47,1785.58;1462.11,1784.8;1460.73,1790.75
1CA.51 1465.55,1785.24;1466.93,1779.29;1463.57,1778.51;1462.19,1784.46
1CA.53 1467.01,1778.94;1468.39,1773.0;1465.03,1772.22;1463.65,1778.16
1CA.55 1468.47,1772.65;1469.85,1766.71;1466.49,1765.93;1465.11,1771.87
1CA.57 1469.93,1766.36;1471.31,1760.42;1467.95,1759.64;1466.57,1765.58
1CA.59 1471.39,1760.07;1472.77,1754.13;1469.41,1753.35;1468.03,1759.29
1CA.61 1472.85,1753.78;1474.23,1747.84;1470.87,1747.06;1469.49,1753.0
1CA.63 1474.31,1747.49;1475.69,1741.55;1472.33,1740.77;1470.95,1746.71
1CA.65 1475.77,1741.2;1477.15,1735.26;1473.79,1734.48;1472.41,1740.42
1CA.67 1477.23,1734.91;1478.61,1728.97;1475.25,1728.19;1473.87,1734.13
1CA.69 1478.69,1728.62;1480.07,1722.68;1476.71,1721.9;1475.33,1727.84
1CA.71 1480.15,1722.33;1481.53,1716.39;1478.17,1715.61;1476.79,1721.55
1CA.73 1481.61,1716.04;1482.99,1710.09;1479.63,1709.31;1478.25,1715.26
1CA.75 1482.99,1710.06;1484.37,1704.12;1481.02,1703.34;1479.64,1709.28
1CA.77 1484.45,1703.77;1485.83,1697.83;1482.48,1697.05;1481.1,1702.99
2AA.01 1489.72,1256.38;1491.1,1250.44;1487.71,1249.65;1486.34,1255.59
2AA.03 1491.46,1248.92;1492.84,1242.98;1489.45,1242.19;1488.07,1248.13
2AA.05 1492.92,1242.63;1494.3,1236.69;1490.91,1235.9;1489.53,1241.84
2AA.07 1494.31,1236.65;1495.69,1230.71;1492.3,1229.93;1490.92,1235.87
2AA.09 1495.77,1230.36;1497.15,1224.42;1493.76,1223.63;1492.38,1229.58
2AA.11 1497.16,1224.39;1498.54,1218.45;1495.15,1217.66;1493.77,1223.6
2AA.13 1498.62,1218.1;1500.0,1212.15;1496.61,1211.37;1495.23,1217.31
2AA.15 1500.08,1211.81;1501.46,1205.86;1498.07,1205.08;1496.69,1211.02
2AA.17 1501.54,1205.51;1502.92,1199.57;1499.53,1198.79;1498.15,1204.73
2AA.19 1503.0,1199.22;1504.38,1193.28;1500.99,1192.5;1499.61,1198.44
2AA.21 1504.46,1192.93;1505.84,1186.99;1502.45,1186.2;1501.07,1192.15
2AA.23 1505.92,1186.64;1507.3,1180.7;1503.91,1179.91;1502.53,1185.86
2AA.25 1507.38,1180.35;1508.75,1174.41;1505.37,1173.62;1503.99,1179.56
2AA.27 1508.84,1174.06;1510.21,1168.12;1506.83,1167.33;1505.45,1173.27
2AA.29 1510.3,1167.77;1511.67,1161.83;1508.29,1161.04;1506.91,1166.98
2AA.31 1511.75,1161.48;1513.13,1155.54;1509.75,1154.75;1508.37,1160.69
2AA.33 1513.21,1155.19;1514.59,1149.25;1511.2,1148.46;1509.83,1154.4
2AA.35 1514.67,1148.9;1516.05,1142.95;1512.66,1142.17;1511.29,1148.11
2AA.37 1516.13,1142.61;1517.51,1136.66;1514.12,1135.88;1512.74,1141.82
2AA.39 1517.59,1136.32;1518.97,1130.37;1515.58,1129.59;1514.2,1135.53
2AA.41 1519.05,1130.02;1520.43,1124.08;1517.04,1123.3;1515.66,1129.24
2AA.43 1520.51,1123.73;1521.89,1117.79;1518.5,1117.0;1517.12,1122.95
2AA.45 1521.97,1117.44;1523.35,1111.5;1519.96,1110.71;1518.58,1116.66
2AA.47 1523.43,1111.15;1524.81,1105.21;1521.42,1104.42;1520.04,1110.37
2AA.49 1524.89,1104.86;1526.27,1098.92;1522.88,1098.13;1521.5,1104.07
2AA.51 1526.35,1098.57;1527.73,1092.63;1524.34,1091.84;1522.96,1097.78
2AA.53 1527.81,1092.28;1529.19,1086.34;1525.8,1085.55;1524.42,1091.49
2AA.55 1529.27,1085.99;1530.65,1080.05;1527.26,1079.26;1525.88,1085.2
2AA.57 1530.73,1079.7;1532.11,1073.76;1528.72,1072.97;1527.34,1078.91
2AA.59 1532.19,1073.41;1533.57,1067.46;1530.18,1066.68;1528.8,1072.62
2AA.61 1533.65,1067.12;1535.03,1061.17;1531.64,1060.39;1530.26,1066.33
2AA.63 1535.11,1060.82;1536.49,1054.88;1533.1,1054.1;1531.72,1060.04
2AA.65 1536.57,1054.53;1537.95,1048.59;1534.56,1047.81;1533.18,1053.75
2AA.67 1538.03,1048.24;1539.41,1042.3;1536.02,1041.51;1534.64,1047.46
2AA.69 1539.49,1041.95;1540.87,1036.01;1537.48,1035.22;1536.1,1041.17
2AA.71 1540.95,1035.66;1542.33,1029.72;1538.94,1028.93;1537.56,1034.87
2AA.73 1542.41,1029.37;1543.79,1023.43;1540.4,1022.64;1539.02,1028.58
2AA.75 1543.87,1023.08;1545.25,1017.14;1541.86,1016.35;1540.48,1022.29
2AA.77 1545.33,1016.79;1546.71,1010.85;1543.32,1010.06;1541.94,1016.0
2AA.79 1546.71,1010.81;1548.09,1004.87;1544.7,1004.08;1543.32,1010.03
2AA.81 1548.17,1004.52;1549.55,998.58;1546.16,997.79;1544.78,1003.74
2AA.83 1549.56,998.55;1550.94,992.6;1547.55,991.82;1546.17,997.76
2AA.85 1551.02,992.26;1552.4,986.31;1549.0,985.53;1547.63,991.47
2AA.87 1552.4,986.28;1553.78,980.34;1550.39,979.55;1549.01,985.49
2BA.01 1412.57,1588.81;1413.95,1582.86;1410.56,1582.08;1409.18,1588.02
2BA.03 1414.3,1581.35;1415.68,1575.41;1412.29,1574.62;1410.91,1580.56
2BA.05 1415.77,1575.06;1417.14,1569.11;1413.75,1568.33;1412.37,1574.27
2BA.07 1417.15,1569.08;1418.53,1563.14;1415.14,1562.35;1413.76,1568.29
2BA.09 1418.61,1562.79;1419.99,1556.85;1416.6,1556.06;1415.22,1562.0
2BA.11 1420.0,1556.82;1421.38,1550.87;1417.98,1550.09;1416.6,1556.03
2BA.13 1421.46,1550.52;1422.84,1544.58;1419.44,1543.79;1418.06,1549.74
2BA.15 1422.92,1544.23;1424.3,1538.29;1420.9,1537.5;1419.52,1543.45
2BA.17 1424.38,1537.94;1425.76,1532.0;1422.36,1531.21;1420.98,1537.15
2BA.19 1425.84,1531.65;1427.22,1525.71;1423.82,1524.92;1422.44,1530.86
2BA.21 1427.3,1525.36;1428.68,1519.42;1425.28,1518.63;1423.91,1524.57
2BA.23 1428.76,1519.07;1430.14,1513.13;1426.75,1512.34;1425.37,1518.28
2BA.25 1430.22,1512.78;1431.6,1506.84;1428.21,1506.05;1426.83,1511.99
2BA.27 1431.68,1506.49;1433.06,1500.55;1429.67,1499.76;1428.29,1505.7
2BA.29 1433.14,1500.2;1434.52,1494.26;1431.13,1493.47;1429.75,1499.41
2BA.31 1434.6,1493.91;1435.98,1487.97;1432.59,1487.18;1431.21,1493.12
2BA.33 1436.06,1487.62;1437.44,1481.68;1434.05,1480.89;1432.67,1486.83
2BA.35 1437.52,1481.33;1438.9,1475.39;1435.51,1474.6;1434.13,1480.54
2BA.37 1438.99,1475.04;1440.36,1469.09;1436.97,1468.31;1435.59,1474.25
2BA.39 1440.45,1468.75;1441.82,1462.8;1438.43,1462.02;1437.05,1467.96
2BA.41 1441.91,1462.46;1443.29,1456.51;1439.89,1455.72;1438.51,1461.67
2BA.43 1443.37,1456.16;1444.75,1450.22;1441.35,1449.43;1439.97,1455.38
2BA.45 1444.83,1449.87;1446.21,1443.93;1442.81,1443.14;1441.43,1449.09
2BA.47 1446.29,1443.58;1447.67,1437.64;1444.27,1436.85;1442.89,1442.79
2BA.49 1447.75,1437.29;1449.13,1431.35;1445.73,1430.56;1444.35,1436.5
2BA.51 1449.21,1431.0;1450.59,1425.06;1447.19,1424.27;1445.81,1430.21
2BA.53 1450.67,1424.71;1452.05,1418.77;1448.65,1417.98;1447.27,1423.92
2BA.55 1452.13,1418.42;1453.51,1412.48;1450.11,1411.69;1448.73,1417.63
2BA.57 1453.59,1412.13;1454.97,1406.19;1451.57,1405.4;1450.19,1411.34
2BA.59 1455.05,1405.84;1456.43,1399.9;1453.03,1399.11;1451.65,1405.05
2BA.61 1456.51,1399.55;1457.89,1393.61;1454.49,1392.82;1453.11,1398.76
2BA.63 1457.97,1393.26;1459.35,1387.32;1455.95,1386.53;1454.57,1392.47
2BA.65 1459.43,1386.97;1460.81,1381.02;1457.41,1380.24;1456.03,1386.18
2BA.67 1460.89,1380.68;1462.27,1374.73;1458.87,1373.95;1457.49,1379.89
2BA.69 1462.35,1374.39;1463.73,1368.44;1460.33,1367.65;1458.95,1373.6
2BA.71 1463.81,1368.09;1465.19,1362.15;1461.79,1361.36;1460.42,1367.31
2BA.73 1465.3,1361.81;1466.68,1355.87;1463.23,1355.07;1461.85,1361.01
2BA.75 1466.68,1355.83;1468.06,1349.89;1464.61,1349.09;1463.24,1355.03
2BA.77 1468.14,1349.54;1469.52,1343.6;1466.07,1342.8;1464.7,1348.74
2BA.79 1469.53,1343.57;1470.91,1337.62;1467.46,1336.83;1466.08,1342.77
2CA.01 1335.43,1921.31;1336.81,1915.37;1333.39,1914.58;1332.02,1920.52
2CA.03 1337.16,1913.85;1338.54,1907.91;1335.13,1907.12;1333.75,1913.06
2CA.05 1338.62,1907.56;1340.0,1901.62;1336.58,1900.83;1335.21,1906.77
2CA.07 1340.01,1901.59;1341.39,1895.65;1337.97,1894.85;1336.59,1900.8
2CA.09 1341.47,1895.3;1342.85,1889.36;1339.43,1888.56;1338.05,1894.51
2CA.11 1342.85,1889.32;1344.23,1883.38;1340.82,1882.59;1339.44,1888.53
2CA.13 1344.31,1883.03;1345.69,1877.09;1342.28,1876.3;1340.9,1882.24
2CA.15 1345.77,1876.74;1347.15,1870.8;1343.74,1870.01;1342.36,1875.95
2CA.17 1347.23,1870.45;1348.61,1864.51;1345.2,1863.72;1343.82,1869.66
2CA.19 1348.69,1864.16;1350.07,1858.22;1346.66,1857.42;1345.28,1863.37
2CA.21 1350.15,1857.87;1351.53,1851.93;1348.12,1851.13;1346.74,1857.08
2CA.23 1351.61,1851.58;1352.99,1845.63;1349.58,1844.84;1348.2,1850.78
2CA.25 1353.07,1845.29;1354.45,1839.34;1351.04,1838.55;1349.66,1844.49
2CA.27 1354.53,1839.0;1355.91,1833.05;1352.5,1832.26;1351.12,1838.2
2CA.29 1355.99,1832.7;1357.37,1826.76;1353.96,1825.97;1352.58,1831.91
2CA.31 1357.45,1826.41;1358.83,1820.47;1355.42,1819.68;1354.04,1825.62
